Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Baron Rivendare,0.4,1,44.0,950
Vectus,0.5,1,44.7,950
Living Seed (Rank 1),0.2,1.7,40.3,940
Earth Elemental,0.2,1.8,41.2,930
Plagued Protodrake,0.4,1.5,44.5,930
Don't Feed the Animals,0.3,1.4,44.8,930
Carousel Gryphon,0.3,1.7,52.7,920
Commencement,0.2,1.8,45.1,910
Runaway Blackwing,0.4,1.4,43.5,910
Ace Hunter Kreen,0.4,1,53.2,910
Equality,0.4,1.4,48.1,890
Lothraxion the Redeemed,0.3,1,48.5,890
Occult Conjurer,0.2,1.6,43.6,880
Sorcerous Substitute,0.2,1.8,44.3,870
Helboar,0.2,1.6,48.9,870
Chain Lightning (Rank 1),0.2,1.6,42.6,870
Clockwork Giant,0.2,1.6,44.3,860
King Mukla,0.4,1,37.6,860
Raid Leader,0.2,1.9,35.9,860
Explosive Sheep,0.2,1.7,41.5,860
Warglaives of Azzinoth,0.2,1.9,57.4,850
High Exarch Yrel,0.4,1,53.6,850
Plaguemaw the Rotting,0.4,1,45.5,830
Priest of An'she,0.2,1.6,40.3,830
Game Master,0.1,1.7,42.9,830
Keymaster Alabaster,0.3,1,45.4,820
Partner Assignment,0.2,1.5,46.6,810
Lady Vashj,0.3,1,48.5,810
Onyxia the Broodmother,0.5,1,39.9,810
Molten Blast,0.2,1.8,44.5,810
Deathwing the Destroyer,0.6,1,39.8,800
Totemic Reflection,0.2,1.8,47.1,780
Bloodsail Deckhand,0.1,1.8,42.1,780
Dragonmaw Overseer,0.2,1.5,39.6,770
Enchanted Raven,0.2,1.8,46.8,770
Tidal Wave,0.3,1.5,47.0,770
SI:7 Infiltrator,0.2,1.4,49.4,770
Taurajo Brave,0.3,1.5,44.3,760
Bloated Python,0.2,1.7,48.2,760
Crimson Hothead,0.2,1.2,50.6,760
Cold Blood,0.2,1.8,37.7,740
Idol of Y'Shaarj,0.2,1.5,40.2,730
Guardian of Kings,0.2,1.6,41.7,730
Shenanigans,0.2,1.6,43.3,720
Youthful Brewmaster,0.3,1.4,40.2,720
High Inquisitor Whitemane,0.5,1,41.6,720
Elven Archer,0.1,1.9,33.4,720
Groundskeeper,0.2,1.6,44.2,720
Abusive Sergeant,0.2,1.8,39.4,710
Imprisoned Observer,0.2,1.5,47.4,710
Darkmoon Tonk,0.2,1.6,47.6,690
Focused Will,0.2,1.3,42.7,690
Water Elemental,0.2,1.7,42.8,690
Ruststeed Raider,0.2,1.5,44.7,680
Saddlemaster,0.2,1.5,46.7,670
Faire Arborist,0.2,1.6,46.3,660
Fel Summoner,0.2,1.7,49.6,640
Dark Iron Dwarf,0.2,1.7,41.2,640
Gruntled Patron,0.2,1.7,33.1,640
Vile Call,0.1,1.4,44.8,630
Headmaster Kel'Thuzad,0.3,1,48.2,630
Assassinate,0.2,1.7,34.5,630
Earthen Ring Farseer,0.1,1.6,43.9,620
Shadowform,0.2,1.2,41.0,620
Balloon Merchant,0.2,1.8,44.3,620
Burrowing Scorpid,0.2,1.5,39.7,600
Nozdormu the Eternal,0.3,1,40.6,600
High Abbess Alura,0.3,1,55.3,600
Coilfang Warlord,0.2,1.4,48.6,590
Marsh Hydra,0.2,1.4,45.3,590
Teron Gorefiend,0.3,1,45.9,590
Firework Elemental,0.2,1.6,43.8,590
Krolusk Barkstripper,0.2,1.5,47.6,570
Cenarius,0.4,1,42.9,570
Zai, the Incredible,0.2,1,48.6,560
Ratchet Privateer,0.1,1.8,42.9,560
Reaper's Scythe,0.1,1.5,48.1,540
Archwitch Willow,0.2,1,51.3,530
Lakkari Felhound,0.1,1.8,40.9,530
Dancing Cobra,0.1,1.6,38.9,530
Initiation,0.2,1.2,40.5,530
Gorehowl,0.3,1.1,33.6,520
Nordrassil Druid,0.2,1.7,40.9,520
Force of Nature,0.2,1.6,49.2,520
Costumed Entertainer,0.10,1.7,43.9,520
Felsteel Executioner,0.1,1.5,49.7,510
Star Student Stelina,0.2,1,54.1,500
Scavenging Shivarra,0.1,1.4,47.5,500
Boneweb Egg,0.1,1.8,43.1,490
Barrens Trapper,0.1,1.6,47.1,490
Smug Senior,0.2,1.2,40.2,480
Stoneskin Basilisk,0.1,1.6,38.0,480
Jewel of N'Zoth,0.2,1.6,50.4,460
Imprisoned Antaen,0.2,1.4,47.3,460
Tomb Pillager,0.10,1.8,27.6,460
Professor Slate,0.2,1,53.2,450
G'huun the Blood God,0.2,1,44.8,450
Darkmoon Rabbit,0.2,1.1,41.8,440
Nagrand Slam,0.3,1.3,48.6,440
Overconfident Orc,0.1,1.4,38.6,430
Void Terror,0.1,1.7,36.9,430
Sayge, Seer of Darkmoon,0.2,1,42.5,420
Tavish Stormpike,0.2,1,40.7,420
Runic Carvings,0.1,1.4,46.9,420
Cycle of Hatred,0.2,1.2,48.9,390
Menagerie Warden,0.1,1.6,44.5,380
Kiri, Chosen of Elune,0.2,1,49.5,370
Druid of the Claw,0.1,1.8,36.2,350
Pounce,0.1,1.8,42.4,340
Hand of Gul'dan,0.3,1.9,43.1,340
Holy Light,0.10,1.4,40.1,340
Disguised Wanderer,0.1,1.6,45.3,340
Big Game Hunter,0.2,1.2,41.7,330
The Lurker Below,0.2,1,49.6,330
Infiltrator Lilian,0.1,1,48.4,320
Sen'jin Shieldmasta,0.1,1.8,30.4,310
Showstopper,0.10,1.2,45.4,310
Feast of Souls,0.1,1.8,32.5,300
Sleepy Dragon,0.2,1.6,35.9,300
