Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Bonechewer Brawler,0.8,1.7,48.3,1,900
Gadgetzan Auctioneer,0.6,1.8,49.9,1,900
Unleash the Hounds,1.7,1.5,56.9,1,900
Madame Lazul,1.1,1,54.8,1,900
Rising Winds,0.6,1.7,50.0,1,900
Malygos,1.5,1,54.3,1,900
Fire Plume's Heart,0.6,1,44.3,1,900
Sayge, Seer of Darkmoon,2.5,1,68.5,1,900
Plated Beetle,0.6,1.5,50.9,1,900
Double Jump,0.6,1.6,43.7,1,900
Duplicate,0.9,1.3,56.9,1,900
Starving Buzzard,0.7,1.7,49.1,1,900
Bladed Lady,0.8,1.9,55.7,1,900
Razorboar,0.6,2,42.5,1,900
Power of Creation,1.1,1.3,54.3,1,900
Survival of the Fittest,0.9,1.6,52.2,1,900
Untapped Potential,0.5,1,48.7,1,900
Gadgetzan Auctioneer,0.7,1.8,40.7,1,900
Diving Gryphon,0.7,1.6,52.0,1,900
Ice Walker,0.9,1.5,58.2,1,900
Into the Fray,0.6,1.8,42.8,1,900
Mana Tide Totem,0.8,1.6,56.1,1,900
Baleful Banker,1.0,1.2,46.1,1,800
Dreadlord's Bite,0.8,1.9,62.8,1,800
Hagatha's Scheme,1.2,1.4,50.2,1,800
Tess Greymane,1.7,1,50.5,1,800
Chillblade Champion,0.9,1.9,71.7,1,800
Lightshower Elemental,1.0,1.3,52.9,1,800
Illidari Inquisitor,1.1,1.7,53.8,1,800
Risky Skipper,0.7,1.8,47.5,1,800
Luna's Pocket Galaxy,1.4,1,57.7,1,800
Blessing of Authority,1.2,1.6,59.7,1,800
Flurry (Rank 1),0.7,1.5,47.6,1,800
Shadow Word: Horror,1.4,1.2,59.4,1,800
Mordresh Fire Eye,1.8,1,54.9,1,800
Netherspite Historian,0.7,1.5,51.1,1,800
Healing Rain,1.0,1.4,49.5,1,800
Immolation Aura,0.8,1.6,45.5,1,800
The Amazing Reno,2.0,1,55.8,1,800
Germination,1.0,1.4,51.4,1,800
Firetree Witchdoctor,0.7,1.4,51.5,1,800
Spirit of the Dead,0.8,1.4,46.4,1,800
Jade Claws,0.5,1.9,53.9,1,800
Kor'vas Bloodthorn,0.7,1,40.7,1,800
Headhunter's Hatchet,1.0,1.5,58.9,1,800
Peon,0.6,1.8,41.6,1,700
Captain's Parrot,0.6,1.9,66.1,1,700
Dr. Boom, Mad Genius,1.2,1,49.7,1,700
Daring Fire-Eater,0.7,1.5,54.0,1,700
Tiny Knight of Evil,0.6,1.9,58.9,1,700
Grimscale Oracle,0.8,1.7,59.3,1,700
Despicable Dreadlord,0.9,1.3,54.5,1,700
Molten Giant,0.6,1.9,55.1,1,700
Twisting Nether,1.7,1.2,53.4,1,700
Imp Swarm (Rank 1),0.6,1.9,35.5,1,700
Coldlight Seer,1.0,1.6,66.5,1,700
Twig of the World Tree,0.8,1,53.6,1,700
Galakrond, the Unspeakable,1.4,1,52.1,1,700
Earthen Scales,0.6,1.8,46.7,1,700
Aldrachi Warblades,0.8,1.7,50.3,1,700
Bloodsail Deckhand,0.7,1.9,64.2,1,700
Scabbs Cutterbutter,0.8,1,48.2,1,700
Razorfen Beastmaster,0.6,1.9,44.5,1,700
Pack Tactics,1.3,1.3,55.4,1,700
Ticket Master,0.5,1.8,47.6,1,700
Teacher's Pet,0.9,1.5,52.0,1,700
Murloc Tastyfin,0.9,1.3,54.8,1,700
Ancestral Knowledge,0.7,1.4,49.9,1,700
Bloodsail Cultist,0.9,2,67.7,1,700
Coordinated Strike,0.6,1.9,60.3,1,700
Brittlebone Destroyer,0.9,1.4,51.2,1,700
Jepetto Joybuzz,1.2,1,51.7,1,700
Overconfident Orc,0.9,1.7,33.5,1,700
Sightless Watcher,0.6,1.8,44.8,1,700
Knife Juggler,0.7,1.7,55.8,1,600
Emerald Explorer,0.7,1.8,52.1,1,600
Power of the Wild,0.7,1.9,59.0,1,600
Cat Trick,0.9,1.4,62.5,1,600
Power Overwhelming,0.8,1.6,54.8,1,600
Mark of the Lotus,0.7,1.9,60.5,1,600
Ysera, Unleashed,1.3,1,55.2,1,600
Dyn-o-matic,0.8,1.6,44.4,1,600
Spymistress,0.5,1.8,51.5,1,600
Shiv,0.6,1.5,42.0,1,600
Freezing Trap,1.1,1.4,54.9,1,600
Potion of Polymorph,0.9,1.2,56.5,1,600
Arcane Artificer,0.6,1.4,48.2,1,600
Mystery Winner,0.8,1.3,58.7,1,600
Clockwork Goblin,0.5,1.9,48.1,1,600
Galloping Savior,1.0,1.6,58.3,1,600
Time Rip,0.7,1.5,51.9,1,600
Galvanizer,0.6,1.9,47.5,1,600
Infested Goblin,0.6,1.8,42.2,1,600
Brrrloc,0.6,1.4,53.9,1,600
Winged Guardian,0.6,1.8,50.8,1,600
Quartermaster,0.8,1.9,68.8,1,600
Guardian Animals,0.6,1.9,54.6,1,600
Archmage Antonidas,1.1,1,50.8,1,600
Runic Egg,0.4,1.7,58.1,1,600
Boneweb Egg,1.4,1.9,62.6,1,600
Vulpera Scoundrel,0.7,1.3,44.7,1,600
Stiltstepper,0.8,1.9,62.4,1,600
Youthful Brewmaster,0.9,1.5,54.8,1,600
Kargath Bladefist,0.8,1,52.5,1,600
Y'Shaarj, the Defiler,2.1,1,54.8,1,600
Carnival Barker,0.8,1.9,62.7,1,600
Wild Growth,0.5,1.6,51.2,1,600
Malygos, Aspect of Magic,1.1,1,58.8,1,600
Alexstrasza,1.8,1,54.2,1,600
Book of Specters,0.7,1.4,57.8,1,500
Arcane Giant,0.6,1.7,53.2,1,500
Coldarra Drake,1.0,1.7,55.0,1,500
Confection Cyclone,0.6,1.7,51.8,1,500
Condemn (Rank 1),0.8,1.4,50.3,1,500
Gan'arg Glaivesmith,0.6,1.9,46.4,1,500
Yogg-Saron, Hope's End,1.8,1,50.8,1,500
Tame Beast (Rank 1),0.7,1.7,49.9,1,500
Mind Vision,0.6,1.4,46.4,1,500
Unite the Murlocs,0.4,1,66.2,1,500
Garrison Commander,0.7,1.6,60.4,1,500
Silence,0.8,1.2,50.6,1,500
Zixor, Apex Predator,1.0,1,52.5,1,500
Kobold Stickyfinger,1.5,1,50.1,1,500
Knife Vendor,1.2,1.6,63.9,1,500
Battle Rage,0.7,1.7,46.3,1,500
Forbidden Words,1.0,1.2,55.5,1,500
Doctor Krastinov,1.1,1,54.2,1,500
Idol of Y'Shaarj,1.0,1.3,59.1,1,500
Mo'arg Artificer,0.7,1.4,56.3,1,500
Carrion Studies,0.6,1.7,48.8,1,500
Consecration,0.7,1.6,52.3,1,500
Stonemaul Anchorman,0.6,1.6,47.8,1,500
Desperate Prayer,0.6,1.7,46.3,1,500
Crackling Razormaw,0.5,1.8,56.8,1,500
Psychic Conjurer,0.5,1.7,48.7,1,500
Man'ari Mosher,0.6,1.8,53.1,1,500
Lightforged Zealot,0.5,1.9,65.2,1,500
Ancharrr,1.3,1,59.3,1,500
Command the Illidari,0.8,1.8,59.0,1,500
Siphon Soul,0.8,1.2,52.6,1,500
King Togwaggle,0.8,1,52.1,1,500
Volcano,0.8,1.3,49.9,1,500
Azure Drake,0.8,1.4,50.6,1,500
Flanking Strike,0.8,1.5,58.4,1,500
Power of the Wild,0.6,1.9,58.6,1,500
Meanstreet Marshal,0.6,1.4,70.9,1,500
Redscale Dragontamer,0.5,1.7,52.5,1,500
Undertaker,0.5,2,58.8,1,500
Duskbreaker,0.7,1.5,52.8,1,500
Steward of Scrolls,0.7,1.6,41.2,1,400
Totemic Might,0.5,1.9,65.0,1,400
Entomb,1.2,1.2,52.7,1,400
Flametongue Totem,0.6,1.8,60.9,1,400
Arcane Keysmith,0.7,1.2,54.9,1,400
Kun the Forgotten King,1.1,1,51.8,1,400
Galakrond, the Nightmare,1.1,1,51.6,1,400
Lightning Bolt,0.6,1.9,43.4,1,400
Derailed Coaster,0.8,1.8,60.9,1,400
Tundra Rhino,0.8,1.7,50.0,1,400
Psyche Split,0.8,1.4,50.0,1,400
Mindrender Illucia,2.1,1,58.6,1,400
Dreaming Drake,0.5,1.8,48.7,1,400
Augmented Elekk,0.7,1.5,46.0,1,400
Hoard Pillager,1.1,1.5,55.0,1,400
Platebreaker,1.2,1.4,40.5,1,400
Deck of Lunacy,0.8,1,48.1,1,400
Faceless Corruptor,0.8,1.4,55.5,1,400
Void Drinker,0.5,1.6,47.0,1,400
Earth Revenant,0.6,1.5,49.9,1,400
Greater Healing Potion,1.3,1.2,52.7,1,400
Aya Blackpaw,0.9,1,52.6,1,400
Embalming Ritual,0.6,1.6,45.7,1,400
Abyssal Summoner,0.6,1.3,54.7,1,400
Slam,0.5,1.8,41.5,1,400
Depth Charge,0.5,1.8,39.0,1,400
Totemic Surge,0.5,1.9,65.4,1,400
Blessing of Might,0.7,1.8,53.3,1,400
Pilfer,0.5,1.5,47.1,1,400
Kolkar Pack Runner,0.6,1.8,64.7,1,400
Crystalline Oracle,0.5,1.4,50.6,1,400
SN1P-SN4P,1.1,1,52.8,1,400
Dragonbane,1.2,1,62.6,1,400
Reckoning,0.7,1.5,40.4,1,400
Dire Frenzy,0.8,1.6,48.4,1,400
Twilight Runner,0.7,1.8,54.3,1,400
Shooting Star,0.5,1.7,49.3,1,400
Azure Explorer,0.7,1.2,52.1,1,400
Snipe,0.8,1.3,56.9,1,400
Murgur Murgurgle,0.9,1,58.5,1,400
Necrium Blade,0.4,1.8,52.4,1,400
Rolling Fireball,0.8,1.2,52.7,1,400
Lightning Storm,0.7,1.3,51.1,1,400
Drakonid Operative,0.6,1.5,52.9,1,300
Arcane Breath,0.7,1.1,53.9,1,300
Conditioning (Rank 1),0.5,1.8,55.1,1,300
Elemental Evocation,0.5,1.7,53.7,1,300
Alleycat,0.6,1.8,51.7,1,300
Bog Slosher,0.7,1.4,50.2,1,300
Soothsayer's Caravan,0.5,1.6,44.3,1,300
Conjurer's Calling,0.9,1.1,52.5,1,300
Menacing Nimbus,0.5,1.7,46.1,1,300
Licensed Adventurer,0.4,1.5,56.9,1,300
Oasis Surger,0.5,1.8,52.4,1,300
Psychic Conjurer,0.5,1.4,51.1,1,300
Omega Assembly,0.7,1.8,44.7,1,300
Trueaim Crescent,0.8,1.5,50.1,1,300
Carnival Clown,1.0,1.6,48.3,1,300
Acrobatics,0.6,1.6,50.8,1,300
Tortollan Pilgrim,1.1,1.1,59.3,1,300
Scrap Shot,0.7,1.8,58.0,1,300
Ambush,0.6,1.4,48.7,1,300
Firelands Portal,0.7,1.5,51.8,1,300
Petting Zoo,0.8,1.3,59.0,1,300
Deadly Shot,0.8,1.6,49.6,1,300
Darkbomb,0.6,1.3,50.6,1,300
Mind Control Tech,0.9,1.2,48.3,1,300
BEEEES!!!,0.5,1.7,49.8,1,300
Altar of Fire,0.6,1.4,31.7,1,300
Thickhide Kodo,0.5,1.7,46.8,1,300
Primordial Protector,0.8,1.4,51.5,1,300
Barista Lynchen,1.4,1,53.2,1,300
Shieldbearer,0.5,1.9,30.7,1,300
Savage Roar,0.9,1.8,59.8,1,300
Direhorn Hatchling,0.8,1.8,42.2,1,300
Ysera the Dreamer,2.1,1,45.6,1,300
Kabal Courier,0.6,1.1,53.1,1,300
Soulshard Lapidary,0.6,1.9,46.4,1,300
Hecklebot,0.6,1.6,45.9,1,300
Candleshot,0.7,1.5,53.4,1,300
Southsea Captain,0.6,1.9,64.3,1,300
Big Ol' Whelp,0.9,1.4,51.1,1,300
Earthquake,0.8,1.3,49.7,1,300
Renowned Performer,0.5,1.8,52.5,1,300
Cabalist's Tome,0.6,1.4,50.1,1,300
Altruis the Outcast,1.0,1,55.4,1,300
Archwitch Willow,0.9,1,60.3,1,300
Tiny Knight of Evil,0.3,2,60.0,1,300
Play Dead,0.7,1.6,46.9,1,300
Mal'Ganis,2.1,1,59.3,1,300
Spectral Sight,0.5,1.5,44.1,1,200
Puzzle Box of Yogg-Saron,1.4,1.1,55.9,1,200
Aegwynn, the Guardian,0.8,1,48.7,1,200
Baku the Mooneater,4.1,1,50.9,1,200
Anubisath Defender,0.4,1.7,55.4,1,200
War Cache,0.5,1.7,43.3,1,200
Noble Sacrifice,0.7,1.6,54.4,1,200
Lesser Emerald Spellstone,0.7,1.6,61.3,1,200
Soldier's Caravan,0.5,1.7,48.1,1,200
Crystal Power,0.4,1.7,39.8,1,200
Totemic Reflection,0.5,1.8,63.0,1,200
Yoink!,0.4,1.4,37.6,1,200
Hemet, Jungle Hunter,0.6,1,53.4,1,200
Dragonfire Potion,1.0,1.1,52.6,1,200
Cataclysm,0.7,1.1,59.1,1,200
Faceless Manipulator,0.7,1.3,50.1,1,200
Sinister Strike,0.5,1.8,46.7,1,200
Cloning Device,0.5,1.2,52.3,1,200
Faerie Dragon,0.6,1.5,49.1,1,200
Heistbaron Togwaggle,1.0,1,53.0,1,200
Beckoner of Evil,0.4,1.7,40.8,1,200
Oasis Thrasher,0.5,1.8,51.6,1,200
Trick Totem,0.5,1.4,53.2,1,200
Totem Golem,0.5,1.9,60.7,1,200
Midway Maniac,0.4,1.7,50.3,1,200
Devout Pupil,0.5,1.7,60.6,1,200
Rapid Fire,0.5,1.7,40.7,1,200
Sacrificial Pact,0.6,1.7,39.2,1,200
Shotbot,0.4,1.8,61.0,1,200
Malevolent Strike,0.4,1.7,50.5,1,200
Execute,0.6,1.8,43.3,1,200
Circus Medic,0.6,1.5,51.0,1,200
Gyreworm,0.5,1.8,55.1,1,200
Drain Soul,0.4,1.6,55.9,1,200
Nerubian Egg,0.4,1.9,42.3,1,200
Mechwarper,0.4,1.9,53.6,1,200
Kindling Elemental,0.5,1.7,45.6,1,200
Hex,0.7,1.5,47.1,1,200
Disciple of C'Thun,0.4,1.6,41.8,1,200
Corrupt Elementalist,0.5,1.7,53.4,1,200
Faceless Manipulator,0.7,1.2,55.3,1,200
Fishy Flyer,0.7,1.5,56.1,1,200
Snap Freeze,0.4,1.6,39.3,1,200
Warglaives of Azzinoth,0.7,1.7,46.1,1,200
Felscream Blast,0.5,1.6,50.8,1,200
Guidance,0.5,1.6,45.5,1,200
Cleric of Scales,0.4,1.6,51.4,1,200
Maelstrom Portal,0.6,1.5,54.7,1,200
Evasive Wyrm,0.7,1.4,52.1,1,200
Cinderstorm,0.5,1.5,47.2,1,100
Floop's Glorious Gloop,0.6,1,49.7,1,100
Xyrella,0.9,1,50.6,1,100
Spellbreaker,0.9,1.2,53.9,1,100
Shadowlight Scholar,0.4,1.7,49.7,1,100
Webspinner,0.5,1.8,41.5,1,100
Warhorse Trainer,0.5,1.9,64.5,1,100
Sky Gen'ral Kragg,0.7,1,51.5,1,100
Silas Darkmoon,1.5,1,46.4,1,100
Bloodsail Corsair,0.5,1.8,60.1,1,100
Crossroads Watch Post,0.6,1.4,47.8,1,100
Southsea Captain,0.5,2,68.3,1,100
Shimmering Tempest,0.4,1.5,49.3,1,100
Zul'Drak Ritualist,0.7,1.3,53.4,1,100
Strength in Numbers,0.3,1.8,52.3,1,100
Marked Shot,0.7,1.3,55.5,1,100
Keli'dan the Breaker,0.9,1,54.7,1,100
Earth Shock,0.6,1.3,50.6,1,100
Edwin VanCleef,0.8,1,55.1,1,100
Gold Road Grunt,0.5,1.8,38.3,1,100
Splitting Axe,0.5,1.8,65.5,1,100
Secretkeeper,0.5,1.6,55.1,1,100
Death Speaker Blackthorn,0.7,1,50.6,1,100
Circle of Healing,0.5,1.6,44.7,1,100
Priestess of Fury,0.7,1.6,52.7,1,100
Mirror Entity,0.4,1.6,47.4,1,100
Frizz Kindleroost,0.6,1,51.1,1,100
Glowfly Swarm,0.5,1.9,60.6,1,100
Cariel Roame,0.7,1,58.6,1,100
Chaos Gazer,0.4,1.5,47.6,1,100
Stowaway,0.5,1.7,49.0,1,100
Master's Call,0.5,1.7,44.7,1,100
Dancing Swords,0.3,1.6,46.6,1,100
Goldshire Footman,0.5,1.8,29.5,1,100
Shadow Madness,0.7,1.1,51.9,1,100
Crossroads Gossiper,0.5,1.8,60.6,1,100
Patches the Pirate,2.1,1,63.3,1,100
Uther of the Ebon Blade,0.7,1,52.1,1,100
Dead Man's Hand,0.6,1.5,49.8,1,100
Ironbeak Owl,0.9,1.1,47.1,1,100
Arcane Golem,0.8,1.7,58.4,1,100
Arcane Explosion,0.5,1.5,48.7,1,100
Rokara,0.7,1,64.6,1,100
Whack-A-Gnoll Hammer,0.4,1.8,63.6,1,100
Sandbinder,0.5,1.2,49.8,1,100
Sneaky Delinquent,0.4,1.8,49.2,1,100
Time Out!,0.5,1.7,51.5,1,100
Spikeridged Steed,0.5,1.4,51.4,1,100
Kalecgos,1.1,1,55.2,1,100
Deep Freeze,0.7,1.3,50.5,1,000
Blessing of Kings,0.5,1.6,56.8,1,000
Shadow Bolt,0.6,1.3,45.1,1,000
Felfin Navigator,0.6,1.6,64.0,1,000
Ring Matron,0.5,1.5,47.4,1,000
Spiritsinger Umbra,0.8,1,51.2,1,000
Raging Felscreamer,0.5,1.7,46.3,1,000
Timber Wolf,0.5,1.7,53.3,1,000
Jan'alai, the Dragonhawk,1.0,1,53.7,1,000
Elemental Allies,0.3,1.7,55.1,1,000
Air Raid,0.5,1.6,55.6,1,000
Hydrologist,0.4,1.7,51.1,1,000
Bazaar Mugger,0.5,1.4,50.4,1,000
Dunk Tank,0.5,1.6,49.5,1,000
Cairne Bloodhoof,1.0,1,44.9,1,000
Bulk Up,0.4,1.7,43.8,1,000
Skeletal Dragon,0.7,1.2,49.5,1,000
Hammer of the Naaru,0.6,1.6,62.4,1,000
Piloted Shredder,0.5,1.5,52.5,1,000
Dragoncaster,0.9,1,58.8,1,000
Iron Hide,0.3,1.8,37.9,1,000
Ashtongue Battlelord,0.5,1.8,38.2,1,000
Sharkfin Fan,0.5,1.7,63.3,1,000
Hunter's Mark,0.6,1.6,50.0,1,000
Secret Plan,0.4,1.6,51.6,1,000
Hench-Clan Hogsteed,0.4,1.6,52.9,1,000
Pounce,0.2,1.9,49.1,1,000
SI:7 Agent,0.4,1.6,43.4,1,000
Restless Mummy,0.3,1.5,48.9,1,000
Kurtrus Ashfallen,0.5,1,51.0,1,000
Starfire,0.4,1.5,56.2,1,000
Mecha'thun,1.2,1,55.8,1,000
Fal'dorei Strider,0.3,1.8,53.4,1,000
Mirror Entity,0.4,1.3,50.4,1,000
Pack Kodo,0.4,1.4,56.4,1,000
Bloodlust,0.9,1.5,62.3,1,000
Flash Heal,0.5,1.6,42.6,1,000
Scavenging Hyena,0.4,1.8,49.5,1,000
Imprisoned Scrap Imp,0.3,1.6,42.2,1,000
Deadly Shot,0.6,1.4,55.7,1,000
Scalerider,0.5,1.3,50.4,1,000
Hench-Clan Thug,0.5,1.9,49.6,1,000
Cenarion Ward,0.5,1.6,47.9,1,000
Murloc Tidehunter,0.4,1.7,60.3,1,000
Transfer Student,0.5,1.3,52.4,1,000
Boggspine Knuckles,0.3,1.8,60.6,1,000
Blood Razor,0.4,1.5,48.0,1,000
Frost Giant,0.4,1.8,61.0,1,000
Rat Trap,0.6,1.1,60.2,990
Imprisoned Satyr,0.3,1.6,48.6,990
Devouring Plague,0.4,1.4,51.2,990
Vilespine Slayer,0.5,1.4,53.6,990
Murozond the Infinite,0.9,1,53.2,990
Coldlight Seer,0.5,1.8,63.5,990
Undercity Huckster,0.4,1.5,50.6,990
Hellfire,0.6,1.3,50.9,990
Treenforcements,0.3,1.8,39.9,980
Pursuit of Justice,0.4,1.7,51.0,980
Bearshark,0.5,1.8,45.7,980
Unstable Portal,0.4,1.6,46.5,980
Spirit Bomb,0.4,1.5,48.8,970
Azalina Soulthief,0.7,1,54.3,970
Primalfin Lookout,0.5,1.6,61.9,970
Blade Dance,0.6,1.7,49.4,970
Evasive Drakonid,0.8,1.6,41.7,970
Archbishop Benedictus,1.0,1,50.5,970
Prince Keleseth,0.5,1,52.0,970
Crimson Sigil Runner,0.4,1.8,46.0,970
Shardshatter Mystic,0.5,1.8,48.8,960
Dragonblight Cultist,0.3,1.9,54.6,960
Glow-Tron,0.3,1.9,51.9,960
Runaway Blackwing,1.0,1.5,46.0,960
Icicle,0.3,1.6,57.5,950
Murloc Tinyfin,0.4,1.9,70.5,950
Barkskin,0.2,1.8,39.8,950
Blood Shard Bristleback,0.3,1.7,49.9,950
Warhorse Trainer,0.5,2,60.6,950
Lady Liadrin,1.3,1,57.7,950
Babbling Book,0.3,1.5,50.4,950
Coordinated Strike,0.4,1.9,40.1,950
Captain Greenskin,0.7,1,56.7,950
Invocation of Frost,0.3,1.8,52.6,950
Fishflinger,0.4,1.7,62.0,950
Dark Pact,0.5,1.7,50.7,940
Novice Zapper,0.3,1.9,42.0,940
Living Seed (Rank 1),0.4,1.5,44.8,930
Hidden Oasis,0.4,1.7,49.5,930
Gruntled Patron,0.4,1.8,36.8,930
Inner Rage,0.4,1.9,41.9,930
