Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Corrupt the Waters,1.9,1,48.7,6,900
Wandmaker,2.1,1.7,52.7,6,900
Oh My Yogg!,3.2,1.8,63.5,6,900
Power Word: Shield,2.9,1.4,54.6,6,900
Loot Hoarder,2.4,1.7,41.9,6,900
Underbelly Angler,2.6,2,69.5,6,800
Shield of Galakrond,2.4,1.7,52.7,6,800
Tracking,2.6,1.9,56.5,6,800
Twin Slice,2.6,2,55.8,6,800
Spawnpool Forager,2.5,2,70.6,6,800
Northshire Cleric,2.9,1.2,58.7,6,700
Shadow Word: Pain,3.6,1.3,56.8,6,600
Spreading Plague,2.4,1.8,54.1,6,600
Libram of Wisdom,1.8,1.9,56.4,6,600
Arcanologist,2.2,1.9,64.0,6,600
Luckysoul Hoarder,2.0,1.9,51.5,6,600
South Coast Chieftain,2.7,1.9,70.0,6,500
Wolpertinger,2.4,1.8,59.2,6,500
Malchezaar's Imp,1.7,2,60.6,6,500
Jade Blossom,1.5,1.9,51.0,6,400
Lesser Jasper Spellstone,1.7,1.8,53.5,6,400
Scavenger's Ingenuity,2.5,1.8,55.8,6,400
Wrath,1.9,1.8,46.5,6,300
Blizzard,2.9,1.4,51.1,6,300
Skull of Gul'dan,2.9,1.8,49.7,6,300
Ultimate Infestation,2.8,1.8,54.6,6,300
Soulfire,2.1,1.9,59.2,6,200
Zola the Gorgon,5.1,1,54.7,6,200
Murloc Warleader,3.0,1.9,67.3,6,200
Sphere of Sapience,3.2,1,54.2,6,100
Counterspell,2.1,1.6,61.8,6,100
Nerub'ar Weblord,2.0,2,67.5,6,100
Deathlord,2.2,1.6,46.8,6,100
School Spirits,2.1,1.8,51.5,6,100
Dread Corsair,1.9,1.9,62.1,6,000
Dragon's Hoard,2.0,1.5,49.8,6,000
Leper Gnome,2.2,1.9,53.5,5,900
Arcanologist,1.9,1.8,64.8,5,900
Chaos Strike,1.7,1.9,47.3,5,800
Psychic Scream,4.4,1.2,58.9,5,800
Lushwater Scout,2.5,1.9,70.4,5,700
Murloc Tinyfin,2.1,1.9,66.7,5,700
Innervate,1.9,1.9,46.9,5,700
Jade Idol,1.6,1.6,51.7,5,700
Deadly Poison,1.7,1.9,53.6,5,600
Gnomeferatu,2.1,1.2,54.7,5,600
Murmy,2.2,1.9,67.8,5,600
Voidwalker,1.8,1.9,50.4,5,600
Lorekeeper Polkelt,3.3,1,58.6,5,500
Call to Arms,1.9,2,67.0,5,500
Toxfin,2.8,1.7,68.3,5,500
N'Zoth, the Corruptor,5.9,1,53.6,5,500
Prize Plunderer,1.6,1.8,54.9,5,400
Efficient Octo-bot,1.5,1.7,48.1,5,400
Aldor Truthseeker,1.7,1.9,57.8,5,400
Mor'shan Watch Post,2.0,1.6,50.2,5,400
Plague of Flames,2.4,1.7,57.9,5,400
Dragonqueen Alexstrasza,5.2,1,56.9,5,400
Togwaggle's Scheme,3.5,1.5,47.6,5,300
Rockpool Hunter,2.1,1.9,70.0,5,300
Dirty Tricks,2.1,1.6,45.7,5,300
Reckless Apprentice,2.0,1.7,54.3,5,300
Mass Resurrection,4.0,1.7,56.9,5,200
Spectral Cutlass,1.7,1.8,49.0,5,200
Mozaki, Master Duelist,1.9,1,60.2,5,200
Clever Disguise,1.7,1.6,50.5,5,200
Tickatus,3.8,1,54.9,5,200
Nourish,2.0,1.7,48.9,5,200
Animal Companion,2.3,1.7,55.4,5,200
Wave of Apathy,3.5,1.2,58.8,5,100
Cloak of Shadows,1.7,1.7,50.9,5,000
Grimestreet Outfitter,1.1,2,66.7,5,000
Font of Power,1.4,1.9,53.3,5,000
Draconic Studies,1.6,1.5,50.3,5,000
Activate the Obelisk,1.4,1,49.0,5,000
Loot Hoarder,1.7,1.4,54.2,4,900
Shadow Word: Death,3.5,1.2,55.9,4,900
Strongman,1.8,1.8,54.1,4,900
Imprisoned Felmaw,2.0,1.7,64.6,4,900
Backstab,1.5,1.7,45.0,4,800
Devoted Maniac,1.6,1.7,52.5,4,800
Evasion,1.6,1.6,51.6,4,800
Enhanced Dreadlord,3.7,1.4,56.8,4,700
Occult Conjurer,2.8,1.3,67.8,4,700
Seance,3.2,1.1,56.2,4,700
Celestial Alignment,1.6,1.9,53.3,4,700
Lunar Eclipse,1.6,1.8,54.7,4,700
Battlefiend,1.6,1.9,51.0,4,600
Death's Head Cultist,2.1,1.6,46.4,4,600
Envoy Rustwix,3.0,1,53.1,4,600
EVIL Miscreant,1.6,1.6,54.8,4,600
Alexstrasza the Life-Binder,4.5,1,54.2,4,600
Wicked Whispers,1.5,1.9,60.4,4,600
Blessing of Kings,1.7,1.9,67.4,4,600
Ring Toss,2.1,1.5,54.4,4,600
Far Sight,1.7,1.5,50.2,4,600
Antique Healbot,2.7,1.3,51.2,4,600
Lifedrinker,1.7,1.6,48.8,4,600
Shielded Minibot,1.9,1.9,66.8,4,500
Nofin Can Stop Us,2.5,1.9,70.6,4,500
Coerce,2.2,1.4,48.9,4,500
Ice Fishing,2.4,1.7,69.1,4,500
Holy Smite,2.3,1.3,59.7,4,500
Kazakus, Golem Shaper,2.7,1,55.9,4,400
Hench-Clan Burglar,1.5,1.6,51.1,4,400
Bloodmage Thalnos,2.4,1,55.4,4,400
Mortal Coil,1.6,1.5,54.1,4,400
Deadly Poison,1.3,1.8,48.9,4,400
Vendetta,1.5,1.6,52.1,4,300
Mass Dispel,3.0,1.2,54.8,4,300
Phase Stalker,1.6,1.7,59.5,4,300
Siphon Soul,1.9,1.5,52.6,4,300
Redemption,2.0,1.9,62.3,4,300
Tinker's Sharpsword Oil,1.6,1.8,54.6,4,300
Horde Operative,2.6,1.3,46.8,4,300
Blood of G'huun,3.4,1.7,58.3,4,300
Battlefiend,1.4,2,55.9,4,300
Paralytic Poison,1.6,1.5,51.4,4,300
Murloc Tidecaller,1.6,1.9,67.8,4,300
Swashburglar,1.2,1.6,49.0,4,300
Gang Up,1.6,1.7,46.9,4,200
Tar Creeper,1.8,1.6,44.0,4,200
Saronite Chain Gang,1.5,1.6,50.3,4,200
Target Dummy,1.2,1.9,61.0,4,200
Kill Command,2.4,1.8,57.8,4,200
Murloc Tidecaller,1.5,1.9,67.9,4,200
Apexis Blast,1.3,1.9,53.5,4,200
Spectral Sight,1.3,1.8,42.8,4,100
Stonehill Defender,1.5,1.6,49.8,4,100
The Caverns Below,1.1,1,62.4,4,100
Twisting Nether,3.0,1.4,54.1,4,100
Thoughtsteal,1.7,1.3,52.8,4,000
Awaken the Makers,1.1,1,50.3,4,000
Quick Shot,2.0,1.9,60.0,4,000
Libram of Justice,2.0,1.7,57.3,4,000
Chaos Strike,1.3,1.9,51.4,4,000
Poison Seeds,1.6,1.7,54.9,3,900
Innervate,1.3,1.8,52.5,3,900
Sigil of Silence,1.0,1.8,39.4,3,900
Polymorph,2.4,1.3,49.6,3,900
Potion of Madness,2.8,1,60.1,3,900
Kingsbane,1.1,1,56.0,3,900
Twilight's Call,1.6,1.7,51.2,3,900
Backfire,1.6,1.5,51.3,3,900
Trampling Rhino,1.6,1.9,61.9,3,900
Sludge Slurper,1.4,1.7,57.2,3,900
Counterfeit Coin,1.1,1.7,48.8,3,800
Open the Waygate,1.0,1,52.3,3,800
Plot Twist,1.3,1.7,49.0,3,800
Cult Neophyte,1.4,1.5,52.4,3,800
Apotheosis,1.6,1.5,49.0,3,800
Demonic Studies,1.2,1.6,45.2,3,800
Learn Draconic,1.2,1.5,50.4,3,800
Aldrachi Warblades,1.4,1.9,49.0,3,700
Mortal Coil,1.3,1.6,48.5,3,700
Fan of Knives,1.5,1.5,48.9,3,700
Kanrethad Ebonlocke,1.9,1,57.1,3,700
Foxy Fraud,1.2,1.7,51.7,3,700
Lesser Diamond Spellstone,3.4,1.8,58.1,3,700
Ice Barrier,1.3,1.4,48.1,3,700
Seal of Champions,1.5,1.7,68.3,3,600
Nitroboost Poison,1.5,1.8,52.5,3,600
Sword Eater,1.8,1.7,58.0,3,600
Smuggler's Run,1.1,2,68.4,3,600
Astromancer Solarian,1.9,1,55.4,3,600
Fallen Hero,1.3,1.7,53.7,3,600
Eater of Secrets,3.0,1,52.7,3,600
Living Roots,1.3,1.8,53.5,3,600
Eye Beam,1.3,1.8,47.0,3,600
Desk Imp,0.9,1.9,54.8,3,600
Blink Fox,1.2,1.6,51.4,3,600
Brawl,1.8,1.7,46.5,3,600
Stonetusk Boar,1.1,1.9,59.4,3,600
Raiding Party,1.3,1.8,57.5,3,600
Eternium Rover,1.0,1.8,49.2,3,500
Holy Smite,1.4,1.5,50.1,3,500
Academic Espionage,1.8,1.5,50.3,3,500
Never Surrender!,2.4,1.3,64.5,3,500
Sky Raider,1.3,1.9,60.6,3,500
Bloodreaver Gul'dan,4.3,1,57.1,3,500
Eaglehorn Bow,1.9,1.6,59.5,3,500
Consume Magic,1.8,1.6,53.0,3,500
Circus Amalgam,1.4,1.7,47.8,3,500
Wound Prey,1.4,1.9,60.0,3,500
Valeera the Hollow,2.7,1,51.2,3,400
Everyfin is Awesome,2.2,1.9,70.7,3,400
Devolve,1.9,1.4,55.7,3,400
Babbling Book,1.1,1.6,48.2,3,400
Hallucination,1.1,1.5,49.0,3,400
Kobold Sandtrooper,1.2,1.9,53.0,3,400
Elven Minstrel,1.2,1.6,51.1,3,400
Reno the Relicologist,2.2,1,58.5,3,300
Scrapyard Colossus,3.8,1.6,56.6,3,300
Shadow Word: Death,2.3,1.3,54.3,3,300
Wild Pyromancer,1.2,1.8,52.6,3,300
Ogremancer,1.5,1.6,55.6,3,300
Rotten Applebaum,1.4,1.4,50.2,3,300
Sir Finley Mrrgglton,2.1,1,59.1,3,300
Firemancer Flurgl,2.4,1,70.3,3,300
Divine Favor,3.0,1.3,64.4,3,300
Potion of Illusion,2.5,1.2,54.3,3,300
Spawn of Shadows,2.5,1,61.9,3,200
Satyr Overseer,1.2,1.9,56.8,3,200
Brawl,1.7,1.8,45.9,3,200
Athletic Studies,1.0,1.8,49.1,3,200
Holy Nova,1.5,1.4,50.7,3,200
Sense Demons,1.4,1.3,55.5,3,200
Crimson Sigil Runner,1.0,1.9,42.3,3,200
Voidlord,3.4,1.3,58.4,3,200
Malfurion the Pestilent,1.7,1,54.2,3,200
Burning Blade Acolyte,1.2,1.7,44.0,3,200
Starscryer,1.1,1.7,54.8,3,200
Buccaneer,0.9,1.8,57.9,3,200
Starfall,1.2,1.6,51.8,3,100
Dead Ringer,1.0,1.7,51.7,3,100
Free Admission,1.1,1.5,50.9,3,100
Sludge Belcher,1.4,1.4,51.2,3,100
Libram of Hope,1.5,1.8,58.5,3,100
Snowflipper Penguin,0.9,1.9,56.1,3,100
Ship's Cannon,1.2,1.9,66.4,3,100
Mask of C'Thun,1.6,1.5,52.1,3,100
Flame Imp,0.9,1.9,57.6,3,000
Hog Rancher,0.8,1.9,43.1,3,000
Beaming Sidekick,1.4,1.8,56.8,3,000
Invigorating Sermon,0.8,1.8,44.9,3,000
Umberwing,1.1,1.9,54.9,3,000
Carnivorous Cube,1.6,1.7,53.7,3,000
Embiggen,0.9,1.9,52.1,3,000
Fury (Rank 1),1.2,1.9,52.0,3,000
Witchwood Piper,1.3,1.4,46.0,3,000
Righteous Protector,1.0,1.9,60.9,3,000
Flare,1.6,1.4,50.5,2,900
Wild Growth,1.0,1.9,41.0,2,900
Nazmani Bloodweaver,0.8,1.7,46.0,2,900
Obsidian Statue,2.9,1.3,55.6,2,900
EVIL Quartermaster,1.0,1.7,48.2,2,900
Silverleaf Poison,1.3,1.3,51.9,2,900
Gift of Luminance,1.3,1.5,46.5,2,900
Skulking Geist,2.0,1,51.4,2,900
Shield Slam,1.1,1.8,45.9,2,900
Mind Blast,1.7,1.7,54.1,2,900
Sandstorm Elemental,1.2,1.5,50.2,2,900
Grave Rune,1.6,1.5,49.5,2,900
Blessing of Wisdom,1.7,1.2,61.1,2,900
